key	nonce	en
climate	4	The population should be expected to minimize their own waste to ensure that as many resources as possible remain for the state to use to support their interests
reproductive		Reproductive Incentives
reproductive	0	We need to keep our population in check, but incentives will not stop the rich, so we should have a hard limit on the number of children a person may have
reproductive	1	People should have as many children as they want. That is not the business of the state
reproductive	2	We should encourage our native citizens to have more children by offering tax incentives to ensure they can support our economy as our population ages and ensure our culture is passed down
reproductive	3	The Earth has a limit to the population it can support, and while we should not have strict controls, we should incentivize people to limit the number of children they have
reproductive	4	Those with genes that the state wants should have children and have children often, and those with poor genes should not be allowed to have children at all
reproductive	5	Population-limiting incentives would only hurt the poor, as the rich will not care about the incentives. We should offer financial support to the poor to ensure our youth are able to have their needs met growing up, but not enough to be considered an incentive
ai		Artificial Intelligence
ai	0	Artificial intelligence risks displacing living working people from their lifestyles and livelihoods. We should be hesitant to replace jobs with AI
ai	1	People and companies should be allowed to use AI freely
ai	2	We should fully embrace AI. Soon it will, and should be able to make decisions far more objectively and effectively than humans can.
ai	3	Artificial Intelligence largely takes jobs from low-income workers and can hurt their livelihoods. It also can hide discrimination through training AI on biased data. We should limit its use
ai	4	We should embrace AI but must be sure to make sure there are adequate alternatives for workers it will displace and that any damage it can do is limited and it will protect privacy
prostitution		Prostitution
prostitution	0	People should be free to do what they want with their bodies. If they want to sell themselves for sex, that's their own choice
prostitution	1	Sex should be reserved for marriage, or at least a long-term relationship. Prostitution and other sex work is immoral
prostitution	2	Unapproved sex should not be permitted, as it may result in children with less than ideal characteristics
prostitution	3	We should have regulated prostitution and other sex work because the alternative is a black market for it which is much worse
prostitution	4	Prostitution takes advantage of the poor by making them sell themselves off to rich people just to be able to pay the bills. It should be illegal to buy
immigration		Immigration
immigration	0	Immigrants caught breaking laws should be deported, but those who illegally enter the country should be overlooked and allowed to stay, as they work lower wages and in worse conditions than our citizens, and allow us to reduce the cost of living for our citizens
immigration	1	We need to be able to screen immigrants coming into our country and ultimately decide who enters. Those who enter unlawfully must be found and deported
immigration	2	We can accept immigrants, but they should be expected to learn our language and culture, and do their best to integrate with our people and way of life
immigration	3	We should accept and encourage talented, educated immigrants to move here. We can provide them the best of our country, and they can better our country with their talents
immigration	4	I support opening our borders to anyone who wants to immigrate. Freedom of movement is an essential human right
immigration	5	We should close our borders and completely shut down immigration. Our nation is for our people alone
immigration	6	We must ensure that there is a need for the immigrants we let in. Those who take low-paying jobs anyone can do are taking jobs from our own citizens. However, I would support immigrants with skills where we have a shortage
immigration	7	We must make it easy and quick to legally immigrate into this country. Immigrants improve our nation, and we can provide many of them a much better quality of life
parliament		Regional Union+Parliament (like the EU)
parliament	0	This union contains many nations with many languages, identities, and cultures, and they are able to maintain those cultural identities. As such, I see no issue with our membership
parliament	1	I support this regional union. We should use this common parliament to push forward legislation that benefits the people of all of our nations
parliament	2	This union allows us to better protect our people through international product safety standards and can allow us easier international trade deals, bring up our quality of life
parliament	3	I oppose being a part of any such union. I have no interest in what the laws of other nations are, but I am very much opposed to  giving them a say in our laws
parliament	4	Our laws are for our own people to decide, not those abroad. I oppose being a part of this union
parliament	5	Being a part of this regional union gives us a much greater say in international affairs, significant economic benefits, and allow us more diplomatic options. As such, I support being a part of it
parliament	6	The freedom of our people is my first priority, and the regulations from this union could restrict the freedom in this country. I am opposed to being a part of it
intcurrency		International Currency
intcurrency	0	Our historical currency is a part of our national identity. We cannot give that up for a slight ease of transactions with foreigners
intcurrency	1	Sharing a currency with neighboring nations increases our currency's stability and gives it more weight internationally, so I support it
intcurrency	2	I support sharing a currency with our neighbors, as it will simplify life for everyone in the shared currency zone and make international commerce easier
intcurrency	3	I am opposed to sharing a currency with other nations. We need to be able to make decisions about our currency internally, and foreigners should not have a say in that
intcurrency	4	I support using a shared currency with neighboring nations. It allows our people and theirs to easily travel to each other and eases transactions across the shared currency zone
intcurrency	5	Having the ability to print our own currency when we need to stimulate our economy is valuable to our nation, and is worth more than the benefits of a shared currency
intcurrency	6	The government should not be regulating currency, people should be free to choose what they accept as pay, such as cryptocurrency, material goods, or the currency of another nation, if they believe that has value
refugees		Refugees
refugees	0	We should accept refugees only if they are able to offer something to our nation, whether it is specialist talents, or intel on the country they are fleeing
refugees	1	It is our duty to help people in need. We should take in as many refugees as we are able to comfortably support
refugees	2	If they can make it to our country, we should not deny them entry, they should have the right to be a part of our nation
refugees	3	These people could pose a threat to our citizens. We should accept very few refugees only after extensive background checks, under strict conditions
refugees	4	Refugees are not our problem. They should not be allowed to enter the nation
refugees	5	We must have a system where refugees have background checks, but after they pass, we should let them in subject to conditions for integrating into our society
minoritylang		Minority Group Making Language Official Where Spoken a lot
minoritylang	0	People who do not speak our language should be deported. There is no reason for another language
minoritylang	1	We should add it as an additional language in that locality, as it can make life significantly easier for these people
minoritylang	2	It is important for our nation to have a single national official language. These people should be expected to learn and understand the national language
minoritylang	3	This will cause undue burden to our industries in labeling everything for all languages for all localities. We should have one national language
military		When Military Action should be used
military	0	We should use our military as a deterrent to ensure we are not attacked, as every time we enter a war, we are putting our citizens lives on the line
military	1	The state of other nations should not concern us, so any military we maintain should be for self-defense only
military	2	We should use our military to ensure the wellbeing and freedom of people around the world, such as contributing to international peacekeeping missions and efforts to replace governments that fail to respect human rights
military	3	We should use our military to assault and annex territory that should belong to us
military	4	Our military should defend our interests abroad to ensure we remain an influential presence, such as by overthrowing hostile governments
military	5	We should not have a military
military	6	We should primarily use our military to ensure our nation maintains its status and independence, such as by defending allies and ensuring other nations do not try to take our land or water
borderchecks		Agreement between Allies to Prevent Border Checks Between Them (Schengen)
borderchecks	0	I oppose this, as we should not be having people from other nations in our nation at all
borderchecks	1	It is important that we can examine who is coming into our nation, we cannot control who enters those nations, which is unacceptable
borderchecks	2	This agreement is a win for everyone and can make it possible for closer alliances between our people
borderchecks	3	I support this agreement. As long as these people respect our laws and values, this can make it easier for tourists to visit our nation and improve our national wealth
borderchecks	4	I support this, not just with our allies, but with all nations. People should be free to enter any nation
borderchecks	5	With this agreement, our people can easily vacation to our allies if they choose, with negligible additional risk, so I support this
borderchecks	6	We should not allow people to leave the nation, and as such, I am opposed to this
foreignaid		Foreign Aid
foreignaid	0	We should expand our influence abroad and foreign aid is a good way to gain favors and popular opinion abroad
foreignaid	1	Foreign aid can greatly improve the quality of lives of developing nations for relatively little cost to us, so we should provide it
foreignaid	2	We should put foreign aid into nations with poor standards. Improving the life there reduces worldwide refugees and protects our nation from them
foreignaid	3	We should not be spending our taxpayers' hard-earned money on other nations
foreignaid	4	The affairs of other nations do not matter to us, there is no reason to send foreign aid
foreignaid	5	Any government should be minimal, if it exists at all, and thus not have the funds to be paying money abroad
unres		United Nations Resolutions (Main 6 Bodies)
unres	0	We should not be a part of the UN
unres	1	I support having the United Nations or a similar new organization to replace governments such as our own to unify the world into a single country
unres	2	Our country should look out for our own people, not the people of the world, so we should not follow UN guidelines unless they happen to coincide with our own interests
unres	3	We should follow UN resolutions and put international pressure on nations that don't to make the world a better place for everyone
unres	4	Our nation's laws should not be decided by other nations, we can consider UN resolutions but should only pass them as laws in our nation if they match our interests
unres	5	We should attempt to use the united nations to our advantage, and support proposals that benefit us and encourage others to follow them, however we should only follow the proposals that benefit us
unres	6	We should not change our way of life because other nations say to.
espionage		Most Important Espionage Agency Tasks
espionage	0	We should use our foreign espionage agency to attempt to infiltrate our enemies abroad and overthrow leaders who oppose us when possible
espionage	1	The most important task is uncovering and tracking down the worst sorts of criminals who reside in our nation
espionage	2	We should use our espionage agencies primarily to identify terrorist threats that could pose a risk to our citizens
espionage	3	The most important espionage task is for our domestic agency to track down people who entered the nation illegally so we can deport them
espionage	4	The most important task is for our foreign espionage agency to uncover atrocities around the world and expose them
espionage	5	We should not even have a foreign espionage agency. Our domestic agency should focused on uncovering and tracking down criminals and people who entered the nation illegally
espionage	6	We should not have any espionage agency
A		Select the view that best describes your opinion
BL		Click the question mark if it is a slight preference
BR		Click the check mark if this is definitely your preference
all		All
home		Main Page
values		Possible Values
whistle		Whistleblowers
whistle	0	Whistleblowers should make reports through the proper channels for ethical concerns. If someone is found to have leaked classified information, they should be punished.
whistle	1	There should be no classified information, and as such, there is no issue with whistleblowers.
whistle	2	Whistleblowers who are revealing information that the people have a right to know, such as illegal activities the government did, should be protected and regarded as heroes.
whistle	3	Anyone leaking state secrets must be punished, the people the state trusts to handle its secrets should not have the authority to determine whether the state is right or wrong.
police		Deaths Caused by Police
police	0	When a police death occurs, there should be an investigation. The officer should be punished if they did not follow policy, but if they followed a bad policy, the policy should be changed, the officer should not be punished.
police	1	There should not be a police force, people should determine justice using their own means.
police	2	Police work dangerous, high-stress jobs and should generally have protection when they take an action when they perceive a threat that turns out to be wrong
police	3	Most police should not be armed with lethal weapons, should be representative of the communities that they serve, and should be trained in deescalation, and should be charged when they kill a member of the communities that they were supposed to protect.
police	4	Police should be legally allowed to kill when someone puts up any perceived resistance to the police.
survey		Surveillance
survey	0	People should have a reasonable expectation of privacy in their data, but the government should be allowed to gain access to the private communications of certain people, if they have reasonable cause to apply for a warrant.
survey	1	Companies should be permitted to monitor your communications and ensure that you are following all their terms, but the government, if one even exists, should not be allowed to.
survey	2	The government should be able to access the communications of anyone. This should be used to discourage people from  engaging in illegal activities online.
survey	3	People should have a right to privacy in their communications. The government should not be able to get electronic data.
survey	4	The government shouldn't be allowed to look at most communications, but software should automatically flag potentially illegal activities for review and potential reporting to authorities.
guns		Gun Ownership
guns	0	Those who can demonstrate a need to own a gun should be able to get one, however, those without a need should not be able to.
guns	1	Gun ownership should be encouraged, if not required, to deter criminals who will have to put their life at risk when committing a crime.
guns	2	Anyone should be able to own a gun and be able to use it when they feel threatened.
guns	3	Many gun deaths are caused by lack of proper training. There should be restrictions on purchasing a guns including training requirements and background checks to ensure gun-owners are responsible.
guns	4	Civilians should not be permitted to own a gun, it endangers law enforcement officers and makes crime more difficult to stop.
deathpenalty		Death Penalty
deathpenalty	0	If people are found guilty beyond any shadow of a doubt for a particularly heinous crime, they should be given the death penalty.
deathpenalty	1	There should be no prisons, as such, if someone has committed an act where it it unsafe to allow them to go freely, they should be executed.
deathpenalty	2	The death penalty should be an option, as it will reduce crime by serving as a deterrent.
deathpenalty	3	We should always try to rehabilitate, and criminals should still have a right to live and change, so the death penalty should be banned.
deathpenalty	4	Those who defy the state should be executed, to ensure that those who remain obey.
deathpenalty	5	The death penalty is an easy escape for especially heinous criminals and should be banned
proced	desc	According to this quiz, someone who believes in Procedural security believes that people should follow the procedures and regulations that are set out. Those that are following the procedures, even when the procedures are wrong, should not be punished, and the procedures should be changed.
decn	desc	Those who believe in Decentralized Security believe that the government should not be guaranteeing security, and instead believes that people should take their own security in their own hands. They usually believe strongly in guns and oppose prisons and police.
lao	desc	People who believe in Law and Order believe that the best way to prevent crime is to impose strict penalties and risks to deter criminals. They usually believe in penalizing those who break the law to the full extent of the law and support punishment over rehabilitation
hum	desc	A Humanist, according to this quiz, believes that most people are fundamentally good, and that people should be trusted until they have shown that they do not deserve that trust. They believe in rehabilitation and the right to bear arms as a default right. 
hum*	desc	This quiz calls a Reformist someone who believes that the government must keep its people safe while respecting their privacy. Reformists believe that people should need training to operate a gun, but also support privacy rights and rehabilitation.
prot	desc	A believer in State Security, according to this quiz, believes that privacy is unimportant in comparison to a guarantee of security and usually supports constant surveillance and removing any threat of uprising. They believe the population should follow the law through any means necessary.
prot*	desc	A believer in Total Security, according to this quiz, believes that the state should suppress dissent. They believe the population should follow the law through any means necessary and that nobody should expect privacy so should follow the law.
